channel,side,model_muscle,label
l_vaslat,left,vaslat,VL
r_vaslat,right,vaslat,VL
l_vasmed,left,vasmed,VM
r_vasmed,right,vasmed,VM
l_recfem,left,recfem,RF
r_recfem,right,recfem,RF
l_add,left,add,ADD
r_add,right,add,ADD
l_tibant,left,tibant,TA
r_tibant,right,tibant,TA
l_semiten,left,semiten,ST
r_semiten,right,semiten,ST
l_bflh,left,bflh,BFLH
r_bflh,right,bflh,BFLH
l_latgas,left,latgas,LG
r_latgas,right,latgas,LG
l_medgas,left,medgas,MG
r_medgas,right,medgas,MG
l_soleus,left,soleus,SOL
r_soleus,right,soleus,SOL
l_glmax,left,glmax,GMax
r_glmax,right,glmax,GMax
l_glmed,left,glmed,GMed
r_glmed,right,glmed,GMed
l_tfl,left,tfl,TFL
r_tfl,right,tfl,TFL
