participant,trial,condition,status,n_cycles
C01,trial_1adae32589,condition_785f40aa8c,ok,22
C01,trial_e8cee506fd,condition_5deba21024,ok,21
C01,trial_8cb2e8b62d,condition_adcc500f47,ok,22
C01,trial_9f813fbdc4,condition_e3aa968a29,ok,21
C01,trial_08e1325ec2,condition_d7de9a1d06,ok,20
C01,trial_9da6560057,condition_e892d6a966,ok,22
C01,trial_6e22cfc8f7,condition_3789c440fe,ok,22
C01,trial_a11b0b087c,condition_487daebb3d,ok,29
C01,trial_2723563132,condition_ff57300bba,ok,28
C01,trial_a76018c70a,condition_ac7a491580,ok,29
C01,trial_29d57eee5a,condition_d53fdf6ea1,ok,26
C01,trial_ffc10db23f,condition_a48815538f,ok,55
C01,trial_f1bf10eeea,condition_385dd596ad,ok,67
C01,trial_87e976b769,condition_4901b94607,ok,46
C01,trial_b4af0473c9,condition_c2777749e7,ok,82
C01,trial_5946ca5426,condition_af9658d0ee,ok,61
C01,trial_49b3331954,condition_bc92f418c3,ok,82
C02,trial_1adae32589,condition_785f40aa8c,ok,33
C02,trial_e8cee506fd,condition_5deba21024,ok,18
C02,trial_8cb2e8b62d,condition_adcc500f47,ok,18
C02,trial_9f813fbdc4,condition_e3aa968a29,ok,17
C02,trial_08e1325ec2,condition_d7de9a1d06,ok,19
C02,trial_9da6560057,condition_e892d6a966,ok,19
C02,trial_6e22cfc8f7,condition_3789c440fe,ok,20
C02,trial_a11b0b087c,condition_487daebb3d,ok,28
C02,trial_2723563132,condition_ff57300bba,ok,32
C02,trial_a76018c70a,condition_ac7a491580,ok,32
C02,trial_29d57eee5a,condition_d53fdf6ea1,ok,31
C02,trial_ffc10db23f,condition_a48815538f,ok,55
C02,trial_f1bf10eeea,condition_385dd596ad,ok,76
C02,trial_87e976b769,condition_4901b94607,ok,45
C02,trial_b4af0473c9,condition_af9658d0ee,ok,93
C02,trial_10e1b3b7fd,condition_bc92f418c3,ok,101
C02,trial_49b3331954,condition_c2777749e7,ok,108
C03,trial_1adae32589,condition_785f40aa8c,ok,23
C03,trial_e8cee506fd,condition_5deba21024,ok,17
C03,trial_8cb2e8b62d,condition_adcc500f47,ok,19
C03,trial_9f813fbdc4,condition_e3aa968a29,ok,19
C03,trial_08e1325ec2,condition_d7de9a1d06,ok,18
C03,trial_9da6560057,condition_e892d6a966,ok,20
C03,trial_6e22cfc8f7,condition_3789c440fe,ok,21
C03,trial_a11b0b087c,condition_487daebb3d,ok,24
C03,trial_2723563132,condition_ff57300bba,ok,26
C03,trial_a76018c70a,condition_ac7a491580,ok,20
C03,trial_29d57eee5a,condition_d53fdf6ea1,ok,20
C03,trial_ffc10db23f,condition_a48815538f,ok,45
C03,trial_f1bf10eeea,condition_4901b94607,ok,40
C03,trial_87e976b769,condition_385dd596ad,ok,60
C03,trial_b4af0473c9,condition_bc92f418c3,ok,70
C03,trial_5946ca5426,condition_c2777749e7,ok,89
C03,trial_49b3331954,condition_af9658d0ee,ok,74
C04,trial_1adae32589,condition_785f40aa8c,ok,21
C04,trial_e8cee506fd,condition_5deba21024,ok,17
C04,trial_8cb2e8b62d,condition_adcc500f47,ok,15
C04,trial_9f813fbdc4,condition_e3aa968a29,ok,21
C04,trial_08e1325ec2,condition_d7de9a1d06,ok,20
C04,trial_9da6560057,condition_e892d6a966,ok,20
C04,trial_ed081649a1,condition_3789c440fe,ok,18
C04,trial_a11b0b087c,condition_487daebb3d,ok,27
C04,trial_2723563132,condition_ff57300bba,ok,21
C04,trial_a76018c70a,condition_ac7a491580,ok,25
C04,trial_29d57eee5a,condition_d53fdf6ea1,ok,23
C04,trial_ffc10db23f,condition_4901b94607,ok,41
C04,trial_f1bf10eeea,condition_385dd596ad,ok,78
C04,trial_87e976b769,condition_a48815538f,ok,69
C04,trial_b4af0473c9,condition_bc92f418c3,ok,84
C04,trial_5946ca5426,condition_c2777749e7,ok,104
C04,trial_49b3331954,condition_af9658d0ee,ok,76
C05,trial_1adae32589,condition_785f40aa8c,ok,21
C05,trial_e8cee506fd,condition_5deba21024,ok,21
C05,trial_8cb2e8b62d,condition_adcc500f47,ok,18
C05,trial_9f813fbdc4,condition_e3aa968a29,ok,18
C05,trial_08e1325ec2,condition_d7de9a1d06,ok,20
C05,trial_9da6560057,condition_e892d6a966,ok,19
C05,trial_6e22cfc8f7,condition_3789c440fe,ok,19
C05,trial_a11b0b087c,condition_487daebb3d,ok,20
C05,trial_2723563132,condition_ff57300bba,ok,29
C05,trial_a76018c70a,condition_ac7a491580,ok,22
C05,trial_29d57eee5a,condition_d53fdf6ea1,ok,19
C05,trial_ffc10db23f,condition_4901b94607,ok,34
C05,trial_f1bf10eeea,condition_385dd596ad,ok,39
C05,trial_87e976b769,condition_a48815538f,ok,38
C05,trial_b4af0473c9,condition_c2777749e7,ok,68
C05,trial_5946ca5426,condition_af9658d0ee,ok,53
C05,trial_49b3331954,condition_bc92f418c3,ok,65
C06,trial_1adae32589,condition_785f40aa8c,ok,25
C06,trial_e8cee506fd,condition_5deba21024,ok,19
C06,trial_8cb2e8b62d,condition_adcc500f47,ok,17
C06,trial_9f813fbdc4,condition_e3aa968a29,ok,19
C06,trial_08e1325ec2,condition_d7de9a1d06,ok,22
C06,trial_9da6560057,condition_e892d6a966,ok,21
C06,trial_6e22cfc8f7,condition_3789c440fe,ok,19
C06,trial_a11b0b087c,condition_487daebb3d,ok,27
C06,trial_2723563132,condition_ff57300bba,ok,26
C06,trial_383f3f50f6,condition_ac7a491580,ok,26
C06,trial_cc14520c6b,condition_d53fdf6ea1,ok,27
C06,trial_ffc10db23f,condition_a48815538f,ok,39
C06,trial_f1bf10eeea,condition_385dd596ad,ok,50
C06,trial_87e976b769,condition_4901b94607,ok,28
C06,trial_b4af0473c9,condition_bc92f418c3,ok,40
C06,trial_5946ca5426,condition_c2777749e7,ok,36
C06,trial_49b3331954,condition_af9658d0ee,ok,49
C07,trial_1adae32589,condition_785f40aa8c,ok,18
C07,trial_e8cee506fd,condition_5deba21024,ok,20
C07,trial_8cb2e8b62d,condition_adcc500f47,ok,17
C07,trial_9f813fbdc4,condition_e3aa968a29,ok,24
C07,trial_08e1325ec2,condition_d7de9a1d06,ok,18
C07,trial_9da6560057,condition_e892d6a966,ok,17
C07,trial_6e22cfc8f7,condition_3789c440fe,ok,18
C07,trial_a11b0b087c,condition_487daebb3d,ok,19
C07,trial_2723563132,condition_ff57300bba,ok,24
C07,trial_a76018c70a,condition_ac7a491580,ok,20
C07,trial_29d57eee5a,condition_d53fdf6ea1,ok,18
C07,trial_2d8fda059c,condition_385dd596ad,ok,37
C07,trial_91cbbc0bef,condition_a48815538f,ok,39
C07,trial_236590d739,condition_4901b94607,ok,32
C07,trial_b4af0473c9,condition_bc92f418c3,ok,56
C07,trial_5946ca5426,condition_c2777749e7,ok,69
C07,trial_49b3331954,condition_af9658d0ee,ok,55
