participant,trial,path,samples,channels
E01,trial_d6bb70f49a,E01/trial_d6bb70f49a/reference_normalised_envelope.parquet,9180,14
E01,trial_7e55c5f6e3,E01/trial_7e55c5f6e3/reference_normalised_envelope.parquet,8020,14
E01,trial_de2a591302,E01/trial_de2a591302/reference_normalised_envelope.parquet,7520,14
E01,trial_4f0f71b3be,E01/trial_4f0f71b3be/reference_normalised_envelope.parquet,7400,14
E01,trial_11bc7243f0,E01/trial_11bc7243f0/reference_normalised_envelope.parquet,7140,14
E01,trial_eb54fd20d1,E01/trial_eb54fd20d1/reference_normalised_envelope.parquet,7410,14
E01,trial_5f81779e66,E01/trial_5f81779e66/reference_normalised_envelope.parquet,8130,14
E01,trial_d357155ad0,E01/trial_d357155ad0/reference_normalised_envelope.parquet,8100,14
E01,trial_aa6d2fe330,E01/trial_aa6d2fe330/reference_normalised_envelope.parquet,3370,14
E01,trial_be0d27dc9a,E01/trial_be0d27dc9a/reference_normalised_envelope.parquet,3120,14
E01,trial_9a0e617132,E01/trial_9a0e617132/reference_normalised_envelope.parquet,2750,14
E01,trial_e006f3e94d,E01/trial_e006f3e94d/reference_normalised_envelope.parquet,3620,14
E01,trial_3e6e1e7f43,E01/trial_3e6e1e7f43/reference_normalised_envelope.parquet,3490,14
E01,trial_647f173af6,E01/trial_647f173af6/reference_normalised_envelope.parquet,3360,14
E01,trial_c0465e0e2c,E01/trial_c0465e0e2c/reference_normalised_envelope.parquet,3300,14
E01,trial_c5af6cd2cd,E01/trial_c5af6cd2cd/reference_normalised_envelope.parquet,4930,14
E01,trial_c9693aa92e,E01/trial_c9693aa92e/reference_normalised_envelope.parquet,4970,14
E01,trial_4ac81fef09,E01/trial_4ac81fef09/reference_normalised_envelope.parquet,3970,14
E01,trial_ce6818a4df,E01/trial_ce6818a4df/reference_normalised_envelope.parquet,3940,14
E01,trial_63f095458b,E01/trial_63f095458b/reference_normalised_envelope.parquet,4950,14
E01,trial_bcfe7b1b43,E01/trial_bcfe7b1b43/reference_normalised_envelope.parquet,6240,14
E01,trial_08b3737c7b,E01/trial_08b3737c7b/reference_normalised_envelope.parquet,5380,14
E01,trial_2f03d820f8,E01/trial_2f03d820f8/reference_normalised_envelope.parquet,6710,14
E01,trial_d37d15ab9d,E01/trial_d37d15ab9d/reference_normalised_envelope.parquet,6370,14
E01,trial_32215972af,E01/trial_32215972af/reference_normalised_envelope.parquet,5310,14
E01,trial_8faeb71d49,E01/trial_8faeb71d49/reference_normalised_envelope.parquet,6810,14
E01,trial_a528b92d9d,E01/trial_a528b92d9d/reference_normalised_envelope.parquet,5930,14
E01,trial_b341aa6d95,E01/trial_b341aa6d95/reference_normalised_envelope.parquet,5530,14
E01,trial_f71c286b07,E01/trial_f71c286b07/reference_normalised_envelope.parquet,5900,14
E01,trial_fa5273e7a1,E01/trial_fa5273e7a1/reference_normalised_envelope.parquet,6740,14
E01,trial_4d068ec7e2,E01/trial_4d068ec7e2/reference_normalised_envelope.parquet,16460,14
E01,trial_f562d2ebd1,E01/trial_f562d2ebd1/reference_normalised_envelope.parquet,7370,14
E01,trial_838d11a184,E01/trial_838d11a184/reference_normalised_envelope.parquet,8110,14
E01,trial_776663e68b,E01/trial_776663e68b/reference_normalised_envelope.parquet,15440,14
E01,trial_9ffa8aa1cc,E01/trial_9ffa8aa1cc/reference_normalised_envelope.parquet,12960,14
E01,trial_39cacd8f52,E01/trial_39cacd8f52/reference_normalised_envelope.parquet,13690,14
E01,trial_c63c370cd4,E01/trial_c63c370cd4/reference_normalised_envelope.parquet,15650,14
E01,trial_18196d4421,E01/trial_18196d4421/reference_normalised_envelope.parquet,11260,14
E01,trial_2ded8b6134,E01/trial_2ded8b6134/reference_normalised_envelope.parquet,15820,14
E01,trial_988189a110,E01/trial_988189a110/reference_normalised_envelope.parquet,13700,14
E01,trial_65165c937d,E01/trial_65165c937d/reference_normalised_envelope.parquet,20350,14
E01,trial_95e0b842f2,E01/trial_95e0b842f2/reference_normalised_envelope.parquet,18810,14
E01,trial_fd85e07611,E01/trial_fd85e07611/reference_normalised_envelope.parquet,17780,14
E01,trial_97660e2588,E01/trial_97660e2588/reference_normalised_envelope.parquet,17930,14
