participant,trial,trial_role,include_reference_normalisation,include_model_training,include_primary_reporting,external_primary_evaluation
E01,trial_d6bb70f49a,external_dynamic_reference,True,False,False,True
E01,trial_7e55c5f6e3,external_dynamic_reference,True,False,False,True
E01,trial_de2a591302,external_dynamic_reference,True,False,False,True
E01,trial_4f0f71b3be,external_dynamic_reference,True,False,False,True
E01,trial_11bc7243f0,external_dynamic_reference,True,False,False,True
E01,trial_eb54fd20d1,external_dynamic_reference,True,False,False,True
E01,trial_5f81779e66,external_dynamic_reference,True,False,False,True
E01,trial_d357155ad0,external_dynamic_reference,True,False,False,True
E01,trial_aa6d2fe330,external_dynamic_reference,True,False,False,False
E01,trial_be0d27dc9a,external_dynamic_reference,True,False,False,False
E01,trial_9a0e617132,external_dynamic_reference,True,False,False,False
E01,trial_e006f3e94d,external_dynamic_reference,True,False,False,False
E01,trial_3e6e1e7f43,external_dynamic_reference,True,False,False,False
E01,trial_647f173af6,external_dynamic_reference,True,False,False,False
E01,trial_c0465e0e2c,external_dynamic_reference,True,False,False,False
E01,trial_c5af6cd2cd,external_dynamic_reference,True,False,False,False
E01,trial_c9693aa92e,external_dynamic_reference,True,False,False,False
E01,trial_4ac81fef09,external_dynamic_reference,True,False,False,False
E01,trial_ce6818a4df,external_dynamic_reference,True,False,False,False
E01,trial_63f095458b,external_dynamic_reference,True,False,False,False
E01,trial_bcfe7b1b43,external_dynamic_reference,True,False,False,False
E01,trial_08b3737c7b,external_dynamic_reference,True,False,False,False
E01,trial_2f03d820f8,external_dynamic_reference,True,False,False,False
E01,trial_d37d15ab9d,external_dynamic_reference,True,False,False,False
E01,trial_32215972af,external_dynamic_reference,True,False,False,False
E01,trial_8faeb71d49,external_dynamic_reference,True,False,False,False
E01,trial_a528b92d9d,external_dynamic_reference,True,False,False,False
E01,trial_b341aa6d95,external_dynamic_reference,True,False,False,False
E01,trial_f71c286b07,external_dynamic_reference,True,False,False,False
E01,trial_fa5273e7a1,external_dynamic_reference,True,False,False,False
E01,trial_4d068ec7e2,external_mvic_reference,True,False,False,False
E01,trial_f562d2ebd1,external_mvic_reference,True,False,False,False
E01,trial_838d11a184,external_mvic_reference,True,False,False,False
E01,trial_776663e68b,external_mvic_reference,True,False,False,False
E01,trial_9ffa8aa1cc,external_mvic_reference,True,False,False,False
E01,trial_39cacd8f52,external_mvic_reference,True,False,False,False
E01,trial_c63c370cd4,external_mvic_reference,True,False,False,False
E01,trial_18196d4421,external_mvic_reference,True,False,False,False
E01,trial_2ded8b6134,external_mvic_reference,True,False,False,False
E01,trial_988189a110,external_mvic_reference,True,False,False,False
E01,trial_65165c937d,external_mvic_reference,True,False,False,False
E01,trial_95e0b842f2,external_mvic_reference,True,False,False,False
E01,trial_fd85e07611,external_mvic_reference,True,False,False,False
E01,trial_97660e2588,external_mvic_reference,True,False,False,False
E01,trial_e7e5564c91,external_mvic_reference,True,False,False,False
E01,trial_2bf9c576e6,external_mvic_reference,True,False,False,False
E01,trial_eb8fd29f83,external_mvic_reference,True,False,False,False
E01,trial_a4aac3f6f6,external_dynamic_reference,True,False,False,True
E01,trial_4907257fb9,external_dynamic_reference,True,False,False,True
E01,trial_eece34b1e1,external_dynamic_reference,True,False,False,True
E01,trial_c1a5c449bf,external_dynamic_reference,True,False,False,True
E01,trial_0a182abac1,external_dynamic_reference,True,False,False,True
E01,trial_80825c7147,external_dynamic_reference,True,False,False,True
E01,trial_a633ca6886,external_dynamic_reference,True,False,False,True
E01,trial_d303051e41,external_dynamic_reference,True,False,False,False
E01,trial_912e70863f,external_dynamic_reference,True,False,False,False
E01,trial_34752379b8,external_dynamic_reference,True,False,False,False
E01,trial_d672ad8e02,external_dynamic_reference,True,False,False,False
E01,trial_a435fc9b96,external_dynamic_reference,True,False,False,False
E01,trial_cceba9c44c,external_dynamic_reference,True,False,False,False
E01,trial_215064429e,external_dynamic_reference,True,False,False,False
E01,trial_02897adfbd,external_dynamic_reference,True,False,False,False
E01,trial_ce7bc47497,external_dynamic_reference,True,False,False,False
E01,trial_b04ff1cda0,external_dynamic_reference,True,False,False,False
E01,trial_46b65c0803,external_dynamic_reference,True,False,False,False
E01,trial_1f48577742,external_dynamic_reference,True,False,False,False
E01,trial_48ccade3e9,external_dynamic_reference,True,False,False,False
E01,trial_ebf23d622c,external_dynamic_reference,True,False,False,False
E01,trial_71fb5e093d,external_dynamic_reference,True,False,False,False
E01,trial_8eca807cc9,external_dynamic_reference,True,False,False,False
E01,trial_e0acef36b9,external_dynamic_reference,True,False,False,False
E01,trial_40fd31d224,external_dynamic_reference,True,False,False,False
E01,trial_1dda902697,external_dynamic_reference,True,False,False,False
E01,trial_0367f40693,external_dynamic_reference,True,False,False,False
E01,trial_a255433148,external_dynamic_reference,True,False,False,False
E01,trial_a83539940f,external_dynamic_reference,True,False,False,False
E01,trial_cb70159121,external_dynamic_reference,True,False,False,False
E01,trial_103d019947,external_dynamic_reference,True,False,False,False
E01,trial_6b68b4b170,external_dynamic_reference,True,False,False,False
E01,trial_8d54ad4b46,external_dynamic_reference,True,False,False,False
E01,trial_4042e5968a,external_dynamic_reference,True,False,False,False
E01,trial_0fc971c76e,external_dynamic_reference,True,False,False,False
E01,trial_bf25291ee3,external_dynamic_reference,True,False,False,False
E01,trial_940c208e39,external_dynamic_reference,True,False,False,False
E01,trial_5bb1cc9b72,external_dynamic_reference,True,False,False,False
E01,trial_d7e5f2a490,external_dynamic_reference,True,False,False,False
E01,trial_4a27f4b0ea,external_dynamic_reference,True,False,False,False
E01,trial_486aa02e2d,external_dynamic_reference,True,False,False,False
E01,trial_f9d1ab7410,external_dynamic_reference,True,False,False,False
E01,trial_f101b7cbef,external_dynamic_reference,True,False,False,False
E01,trial_f2c007e375,external_dynamic_reference,True,False,False,True
E01,trial_aef43817d1,external_dynamic_reference,True,False,False,True
E01,trial_7236c89239,external_dynamic_reference,True,False,False,True
E01,trial_251a4996ff,external_dynamic_reference,True,False,False,True
E01,trial_fe4e55bdf0,external_dynamic_reference,True,False,False,True
E01,trial_b1960cef10,external_dynamic_reference,True,False,False,True
E01,trial_207f4e9f7f,external_dynamic_reference,True,False,False,True
E01,trial_d9e46292f4,external_dynamic_reference,True,False,False,True
E01,trial_a498ab7abc,external_dynamic_reference,True,False,False,True
E01,trial_07c5a60672,external_dynamic_reference,True,False,False,True
E01,trial_f086b95975,external_dynamic_reference,True,False,False,True
E01,trial_5c17165232,external_dynamic_reference,True,False,False,True
E01,trial_be98b67520,external_dynamic_reference,True,False,False,True
E01,trial_5e0dca4081,external_dynamic_reference,True,False,False,True
E01,trial_546179084f,external_dynamic_reference,True,False,False,True
E01,trial_277abff0d8,external_dynamic_reference,True,False,False,True
C01,trial_1adae32589,cycling_primary,True,True,True,False
C01,trial_e8cee506fd,cycling_primary,True,True,True,False
C01,trial_8cb2e8b62d,cycling_primary,True,True,True,False
C01,trial_9f813fbdc4,cycling_primary,True,True,True,False
C01,trial_08e1325ec2,cycling_primary,True,True,True,False
C01,trial_9da6560057,cycling_primary,True,True,True,False
C01,trial_6e22cfc8f7,cycling_primary,True,True,True,False
C01,trial_a11b0b087c,cycling_primary,True,True,True,False
C01,trial_2723563132,cycling_primary,True,True,True,False
C01,trial_a76018c70a,cycling_primary,True,True,True,False
C01,trial_29d57eee5a,cycling_primary,True,True,True,False
C01,trial_a88f4ef7a5,cycling_cmj_augmentation,True,True,False,False
C01,trial_78cba2c582,cycling_cmj_augmentation,True,True,False,False
C01,trial_13bd18cdf3,cycling_cmj_augmentation,True,True,False,False
C01,trial_ffc10db23f,cycling_primary,True,True,True,False
C01,trial_f1bf10eeea,cycling_primary,True,True,True,False
C01,trial_87e976b769,cycling_primary,True,True,True,False
C01,trial_b4af0473c9,cycling_primary,True,True,True,False
C01,trial_5946ca5426,cycling_primary,True,True,True,False
C01,trial_49b3331954,cycling_primary,True,True,True,False
C02,trial_1adae32589,cycling_primary,True,True,True,False
C02,trial_e8cee506fd,cycling_primary,True,True,True,False
C02,trial_8cb2e8b62d,cycling_primary,True,True,True,False
C02,trial_9f813fbdc4,cycling_primary,True,True,True,False
