participant,trial,trial_role,has_bandpass_emg,include_reference,include_training,include_prediction,include_primary_reporting,include_cycling_crank_cycle_metrics,include_noncycling_task_metrics,cycling_training_eligible,nl_external_evaluation
C01,trial_ffc10db23f,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_f1bf10eeea,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_87e976b769,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_b4af0473c9,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_5946ca5426,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_49b3331954,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_1adae32589,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_e8cee506fd,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_8cb2e8b62d,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_9f813fbdc4,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_08e1325ec2,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_9da6560057,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_6e22cfc8f7,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_a11b0b087c,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_2723563132,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_a76018c70a,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_29d57eee5a,cycling_primary,True,True,True,True,True,True,False,True,False
C01,trial_a88f4ef7a5,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C01,trial_78cba2c582,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C01,trial_13bd18cdf3,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C02,trial_ffc10db23f,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_f1bf10eeea,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_87e976b769,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_b4af0473c9,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_10e1b3b7fd,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_49b3331954,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_1adae32589,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_e8cee506fd,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_8cb2e8b62d,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_9f813fbdc4,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_08e1325ec2,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_9da6560057,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_6e22cfc8f7,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_a11b0b087c,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_2723563132,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_a76018c70a,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_29d57eee5a,cycling_primary,True,True,True,True,True,True,False,True,False
C02,trial_eef4aab155,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C02,trial_56af8361a5,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
C02,trial_9316b4a838,cycling_cmj_augmentation,True,True,True,False,False,False,False,True,False
