model_muscle,label,beta_0,beta_variance,beta_kde_fwhm,variance_mean_mV2,variance_sd_mV2,kde_fwhm_mean_mV,kde_fwhm_sd_mV,window_s,step_s,minimum_valid_s
add,ADD,0.07058181843764026,-0.0005957322933623013,0.08803766788757608,0.0009178143185954031,0.005326419240822694,0.0381151278605882,0.053046699779027644,0.1,0.025,0.03
bflh,BFLH,0.05929547911368152,-0.029290134462646958,0.12134165468212527,0.002205455009532701,0.011171563224413233,0.042631297420607006,0.0824161884973095,0.1,0.025,0.03
glmax,GMax,0.04355413266744273,-0.02270161086003985,0.09475457313262611,0.00046041724586162465,0.0032836780894918293,0.018669054218721476,0.04111624936443078,0.1,0.025,0.03
glmed,GMed,0.05207991294077646,-0.05407369784628258,0.10765902743629505,0.0014483277771530716,0.013146685485496044,0.029908363999504528,0.06909898547763221,0.1,0.025,0.03
latgas,LG,0.06865746142000173,-0.020323651869345226,0.11574926489677473,0.0040523066198620466,0.016868362947759914,0.06141031142410631,0.10285272532185635,0.1,0.025,0.03
medgas,MG,0.07947297108302408,0.010097591765987665,0.10175111699397849,0.004890190956172356,0.015385434671769933,0.06925827407547795,0.10480648230356661,0.1,0.025,0.03
recfem,RF,0.05022650329551872,-0.02115624301926841,0.11071176296619716,0.006387880671244239,0.03375180971795034,0.06411959446016753,0.13738982901270105,0.1,0.025,0.03
semiten,ST,0.058535135660402825,-0.04501419478454241,0.1320073541123144,0.005331575716863134,0.03166682910679362,0.05947424213416913,0.12780872139555757,0.1,0.025,0.03
soleus,SOL,0.049477278431808575,-0.02037399342003797,0.09398695549210878,0.007693851854273021,0.04440256605651632,0.07067215905007634,0.14133351508493688,0.1,0.025,0.03
tfl,TFL,0.049947088514675005,-0.03991549621578788,0.10095222364268452,0.003760865107524182,0.03201709928519999,0.048596384301958506,0.1176904504231606,0.1,0.025,0.03
tibant,TA,0.06016633936579655,0.009289897340558826,0.08736465006420258,0.00373937930786818,0.014607361711637729,0.053893476880480976,0.08966513458713417,0.1,0.025,0.03
vaslat,VL,0.04413683244972168,-0.014832256392818835,0.10058777749946853,0.01092508073466048,0.055998350352070306,0.08157676771896732,0.2034339357767911,0.1,0.025,0.03
vasmed,VM,0.04284123225234319,-0.005875654246866882,0.09143120003617237,0.010492815002862131,0.052721144714306126,0.07975561759192748,0.18873577800446234,0.1,0.025,0.03
